Lattice Parameter	Energy
2.3799696252903852	-4410.000700429622
2.3899710540659247	-4410.028360667684
2.3999724828414646	-4410.049620515588
2.4099739116170036	-4410.064750726625
2.419975340392543	-4410.074062599056
2.429976769168082	-4410.077812872308
2.4399781979436215	-4410.076251755079
2.4499796267191614	-4410.069643333873
2.4599810554947004	-4410.058209517542
2.46998248427024	-4410.0422006508425
2.479983913045779	-4410.0218050365675
2.4899853418213187	-4409.997253563326
2.499986770596858	-4409.9686979346
