Lattice Parameter	Energy
2.3799696252903852	-4410.021142439312
2.3899710540659247	-4410.038591060457
2.3999724828414646	-4410.05259934604
2.4099739116170036	-4410.063310972178
2.419975340392543	-4410.070883900971
2.429976769168082	-4410.0754238486525
2.4399781979436215	-4410.077069049064
2.4499796267191614	-4410.07595950479
2.4599810554947004	-4410.072177802387
2.46998248427024	-4410.065874556877
2.479983913045779	-4410.057173171897
2.4899853418213187	-4410.046143444653
2.499986770596858	-4410.032919799393
