Lattice Parameter	Energy
2.3799696252903852	-4409.364999861096
2.3899710540659247	-4409.40308478123
2.3999724828414646	-4409.434681146312
2.4099739116170036	-4409.460078349437
2.419975340392543	-4409.479541293449
2.429976769168082	-4409.493337058106
2.4399781979436215	-4409.501721158322
2.4499796267191614	-4409.504941625884
2.4599810554947004	-4409.503227444608
2.46998248427024	-4409.496790591192
2.479983913045779	-4409.48586535567
2.4899853418213187	-4409.470641401407
2.499986770596858	-4409.451336419493
2.509988199372397	-4409.428125787309
2.5199896281479366	-4409.401205562896
