 &plot nbnd=  44, nks=   100 /
            0.000000  0.000000  0.000000
  -61.551  -61.551  -37.298  -37.298  -34.911  -34.911  -34.652  -34.652  -16.427  -16.427
  -14.299  -14.299   -7.631   -7.631   -5.020   -5.020   -5.003   -5.003   -4.925   -4.925
   -3.114   -3.114   -3.087   -3.087   -1.889   -1.889   -1.888   -1.888   -1.853   -1.853
   -0.827   -0.827   -0.782   -0.782   -0.444   -0.444    1.889    1.889    2.110    2.110
    2.159    2.159    2.625    2.625
            0.013514  0.007802  0.000000
  -61.551  -61.551  -37.299  -37.298  -34.911  -34.911  -34.653  -34.653  -16.425  -16.424
  -14.298  -14.296   -7.629   -7.627   -5.027   -5.022   -5.007   -5.006   -4.924   -4.922
   -3.117   -3.117   -3.090   -3.088   -1.924   -1.920   -1.877   -1.868   -1.843   -1.828
   -0.833   -0.826   -0.785   -0.785   -0.443   -0.442    1.893    1.895    2.106    2.111
    2.159    2.159    2.617    2.618
            0.027027  0.015604  0.000000
  -61.551  -61.551  -37.299  -37.299  -34.912  -34.911  -34.654  -34.654  -16.419  -16.417
  -14.294  -14.289   -7.622   -7.618   -5.046   -5.039   -5.012   -5.011   -4.921   -4.917
   -3.129   -3.128   -3.093   -3.089   -1.961   -1.959   -1.874   -1.863   -1.809   -1.791
   -0.845   -0.832   -0.792   -0.791   -0.438   -0.436    1.907    1.911    2.096    2.108
    2.159    2.163    2.590    2.593
            0.040541  0.023406  0.000000
  -61.550  -61.550  -37.300  -37.299  -34.913  -34.911  -34.656  -34.656  -16.407  -16.405
  -14.287  -14.279   -7.609   -7.603   -5.080   -5.073   -5.015   -5.015   -4.915   -4.911
   -3.154   -3.151   -3.094   -3.087   -1.999   -1.999   -1.872   -1.859   -1.774   -1.754
   -0.863   -0.844   -0.800   -0.800   -0.431   -0.427    1.928    1.934    2.076    2.097
    2.167    2.176    2.546    2.550
            0.054054  0.031208  0.000000
  -61.550  -61.550  -37.302  -37.300  -34.914  -34.912  -34.660  -34.660  -16.392  -16.388
  -14.276  -14.265   -7.591   -7.583   -5.126   -5.119   -5.019   -5.018   -4.907   -4.904
   -3.190   -3.185   -3.091   -3.082   -2.040   -2.037   -1.869   -1.853   -1.741   -1.717
   -0.889   -0.865   -0.810   -0.809   -0.420   -0.415    1.952    1.957    2.056    2.081
    2.183    2.196    2.487    2.492
            0.067568  0.039010  0.000000
  -61.549  -61.549  -37.303  -37.302  -34.915  -34.912  -34.664  -34.664  -16.371  -16.367
  -14.261  -14.248   -7.568   -7.558   -5.185   -5.178   -5.024   -5.022   -4.898   -4.897
   -3.234   -3.228   -3.087   -3.075   -2.082   -2.076   -1.864   -1.845   -1.710   -1.682
   -0.921   -0.893   -0.819   -0.816   -0.408   -0.401    1.956    1.965    2.061    2.079
    2.204    2.221    2.418    2.424
            0.081081  0.046812  0.000000
  -61.548  -61.548  -37.305  -37.304  -34.916  -34.913  -34.669  -34.669  -16.346  -16.341
  -14.243  -14.228   -7.540   -7.528   -5.255   -5.249   -5.030   -5.028   -4.888   -4.888
