Lattice Parameter	Energy
2.250003968820943	-2203.1347702954786
2.2600053975964824	-2203.1453220547232
2.2700068263720214	-2203.153542886622
2.280008255147561	-2203.1596960613374
2.2900096839231	-2203.1636761347463
2.30001111269864	-2203.165702294566
2.3100125414741792	-2203.1657848811237
2.3200139702497182	-2203.164056685983
2.3300153990252577	-2203.1606118605414
2.340016827800797	-2203.1554634662634
2.3500182565763366	-2203.14883803794
2.360019685351876	-2203.1406686355613
2.370021114127415	-2203.131054852801
