Lattice Parameter	Energy
3.1199695194551604	-6757.862605543436
3.1299709482306994	-6757.872601101945
3.1399723770062393	-6757.880194439278
3.1499738057817788	-6757.885476305405
3.1599752345573178	-6757.888470646348
3.169976663332857	-6757.889238551667
3.179978092108396	-6757.887836484991
3.189979520883936	-6757.88430648791
3.1999809496594755	-6757.878723391737
3.2099823784350145	-6757.871105564157
3.219983807210554	-6757.861526748028
3.2299852359860934	-6757.850020549411
3.239986664761633	-6757.836638125712
