 &plot nbnd=  34, nks=   100 /
            0.000000  0.000000  0.000000
  -61.261  -61.261  -36.980  -36.980  -34.550  -34.550  -34.387  -34.387  -14.447  -14.447
  -13.239  -13.239   -5.972   -5.972   -2.873   -2.873   -2.804   -2.804   -2.297   -2.297
   -1.802   -1.802   -1.715   -1.715   -0.552   -0.552    2.331    2.331    2.407    2.407
    2.547    2.547    2.552    2.552
            0.013514  0.007802  0.000000
  -61.261  -61.261  -36.981  -36.981  -34.550  -34.550  -34.388  -34.388  -14.444  -14.444
  -13.237  -13.237   -5.969   -5.969   -2.875   -2.875   -2.806   -2.806   -2.312   -2.312
   -1.798   -1.798   -1.712   -1.712   -0.552   -0.552    2.331    2.331    2.407    2.407
    2.539    2.539    2.548    2.548
            0.027027  0.015604  0.000000
  -61.260  -61.260  -36.981  -36.981  -34.550  -34.550  -34.389  -34.389  -14.436  -14.436
  -13.234  -13.234   -5.959   -5.959   -2.885   -2.885   -2.807   -2.807   -2.354   -2.354
   -1.797   -1.797   -1.697   -1.697   -0.555   -0.555    2.327    2.327    2.409    2.409
    2.515    2.515    2.538    2.538
            0.040541  0.023406  0.000000
  -61.260  -61.260  -36.982  -36.982  -34.550  -34.550  -34.392  -34.392  -14.422  -14.422
  -13.228  -13.228   -5.943   -5.943   -2.909   -2.909   -2.801   -2.801   -2.416   -2.416
   -1.810   -1.810   -1.666   -1.666   -0.559   -0.559    2.314    2.314    2.415    2.415
    2.479    2.479    2.525    2.525
            0.054054  0.031208  0.000000
  -61.260  -61.260  -36.983  -36.983  -34.551  -34.551  -34.395  -34.395  -14.403  -14.403
  -13.219  -13.219   -5.921   -5.921   -2.949   -2.949   -2.787   -2.787   -2.491   -2.491
   -1.837   -1.837   -1.627   -1.627   -0.566   -0.566    2.290    2.290    2.400    2.400
    2.460    2.460    2.510    2.510
            0.067568  0.039010  0.000000
  -61.259  -61.259  -36.985  -36.985  -34.552  -34.552  -34.399  -34.399  -14.379  -14.379
  -13.208  -13.208   -5.892   -5.892   -3.003   -3.003   -2.765   -2.765   -2.573   -2.573
   -1.873   -1.873   -1.586   -1.586   -0.575   -0.575    2.259    2.259    2.343    2.343
    2.458    2.458    2.514    2.514
            0.081081  0.046812  0.000000
  -61.258  -61.258  -36.987  -36.987  -34.553  -34.553  -34.404  -34.404  -14.349  -14.349
  -13.195  -13.195   -5.858   -5.858   -3.067   -3.067   -2.740   -2.740   -2.658   -2.658
   -1.918   -1.918   -1.550   -1.550   -0.588   -0.588    2.221    2.221    2.276    2.276
    2.434    2.434    2.551    2.551
            0.094595  0.054614  0.000000
  -61.257  -61.257  -36.989  -36.989  -34.554  -34.554  -34.409  -34.409  -14.314  -14.314
  -13.179  -13.179   -5.818   -5.818   -3.141   -3.141   -2.766   -2.766   -2.690   -2.690
   -1.969   -1.969   -1.519   -1.519   -0.604   -0.604    2.167    2.167    2.221    2.221
    2.401    2.401    2.600    2.600
            0.108108  0.062416  0.000000
  -61.256  -61.256  -36.992  -36.992  -34.555  -34.555  -34.415  -34.415  -14.275  -14.275
  -13.162  -13.162   -5.773   -5.773   -3.223   -3.223   -2.857   -2.857   -2.655   -2.655
   -2.025   -2.025   -1.498   -1.498   -0.626   -0.626    2.094    2.094    2.186    2.186
    2.363    2.363    2.657    2.657
            0.121622  0.070218  0.000000
  -61.255  -61.255  -36.995  -36.995  -34.557  -34.557  -34.422  -34.422  -14.230  -14.230
  -13.142  -13.142   -5.725   -5.725   -3.311   -3.311   -2.955   -2.955   -2.612   -2.612
   -2.087   -2.087   -1.486   -1.486   -0.652   -0.652    2.016    2.016    2.164    2.164
    2.323    2.323    2.718    2.718
            0.135135  0.078020  0.000000
  -61.254  -61.254  -36.998  -36.998  -34.559  -34.559  -34.429  -34.429  -14.181  -14.181
  -13.120  -13.120   -5.672   -5.672   -3.403   -3.403   -3.055   -3.055   -2.563   -2.563
   -2.152   -2.152   -1.484   -1.484   -0.685   -0.685    1.940    1.940    2.151    2.151
    2.280    2.280    2.782    2.782
            0.148649  0.085822  0.000000
  -61.253  -61.253  -37.002  -37.002  -34.561  -34.561  -34.436  -34.436  -14.128  -14.128
  -13.096  -13.096   -5.618   -5.618   -3.499   -3.499   -3.157   -3.157   -2.510   -2.510
   -2.219   -2.219   -1.493   -1.493   -0.724   -0.724    1.870    1.870    2.148    2.148
    2.237    2.237    2.849    2.849
            0.162162  0.093624  0.000000
  -61.251  -61.251  -37.006  -37.006  -34.564  -34.564  -34.444  -34.444  -14.070  -14.070
  -13.070  -13.070   -5.562   -5.562   -3.597   -3.597   -3.260   -3.260   -2.454   -2.454
   -2.288   -2.288   -1.512   -1.512   -0.769   -0.769    1.807    1.807    2.152    2.152
    2.199    2.199    2.917    2.917
            0.175676  0.101426  0.000000
  -61.250  -61.250  -37.010  -37.010  -34.567  -34.567  -34.452  -34.452  -14.008  -14.008
  -13.043  -13.043   -5.506   -5.506   -3.694   -3.694   -3.364   -3.364   -2.402   -2.402
   -2.351   -2.351   -1.540   -1.540   -0.822   -0.822    1.754    1.754    2.134    2.134
    2.194    2.194    2.985    2.985
            0.189189  0.109228  0.000000
  -61.248  -61.248  -37.014  -37.014  -34.571  -34.571  -34.459  -34.459  -13.943  -13.943
  -13.014  -13.014   -5.452   -5.452   -3.790   -3.790   -3.469   -3.469   -2.437   -2.437
   -2.324   -2.324   -1.577   -1.577   -0.880   -0.880    1.711    1.711    2.095    2.095
    2.221    2.221    3.052    3.052
            0.202703  0.117030  0.000000
  -61.247  -61.247  -37.018  -37.018  -34.575  -34.575  -34.466  -34.466  -13.874  -13.874
  -12.983  -12.983   -5.402   -5.402   -3.881   -3.881   -3.575   -3.575   -2.507   -2.507
   -2.261   -2.261   -1.620   -1.620   -0.942   -0.942    1.679    1.679    2.054    2.054
    2.263    2.263    3.118    3.118
            0.216216  0.124832  0.000000
  -61.245  -61.245  -37.023  -37.023  -34.580  -34.580  -34.473  -34.473  -13.803  -13.803
  -12.952  -12.952   -5.359   -5.359   -3.966   -3.966   -3.681   -3.681   -2.578   -2.578
