Lattice Parameter	Energy
3.1199695194551604	-6757.86614778564
3.1299709482306994	-6757.876165793544
3.1399723770062393	-6757.88378334901
3.1499738057817788	-6757.889063038226
3.1599752345573178	-6757.8920556104285
3.169976663332857	-6757.8928344003025
3.179978092108396	-6757.891436687449
3.189979520883936	-6757.88792342537
3.1999809496594755	-6757.882339921026
3.2099823784350145	-6757.874758012476
3.219983807210554	-6757.865178243948
3.2299852359860934	-6757.8536619771185
3.239986664761633	-6757.840300098016
