Lattice Parameter	Energy
3.12	-6758.369082916299
3.13	-6758.377250600278
3.14	-6758.383484572401
3.15	-6758.38784518072
3.16	-6758.390294855834
3.17	-6758.39096039328
3.18	-6758.389813393893
3.19	-6758.3869027864675
3.2	-6758.375959573745
3.21	-6758.367990604995
3.22	-6758.358363662808
3.23	-6758.347160803119
